taskName,Bucket Name,Category,Progress,Priority,Start Date,Due Date,Assigned To,Notes,Content Type,Created By,Modified By,,
Development,Design,client,disapproved,low,8/16/2023,9/20/2023,ishtiyaq,fine,Item,Hanif Bahadur,Haseeb Ur Rehman,,
Testing,Developement,service,approve,High,8/16/2023,9/18/2023,Humair,good,Item,Hanif Bahadur,Haseeb Ur Rehman,,
Development,design,service,approve,low,8/17/2023,9/25/2023,HR,good,Item,Hanif Bahadur,Haseeb Ur Rehman,,
Detection,review,client,disapproved,mid,8/18/2023,9/26/2023,WAD,fine,Item,Hanif Bahadur,Haseeb Ur Rehman,,
test 2,production,self,approve,high,2/13/2024,4/13/2024,Marketing,good,Item,Hanif Bahadur,Haseeb Ur Rehman,,
HR,Development,Self,disapproved,mid,8/16/2023,4/14/2024,ishtiyaq,bad,Item,Hanif Bahadur,Haseeb Ur Rehman,,
Team review,follow up,client,approve,high,5/20/2024,4/15/2024,hanif,good,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Designing web ,Website development,Designing,Select,high,6/3/2024,4/16/2024,haseebjutt,good ,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
NSE -1 & NSE-2 Training,Trainings & Certification,Not started,Medium,high,6/4/2024,4/17/2024,Salman Abid,good ,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Printer Access to Tax Consultant Team,Day to Day,Not started,Medium,high,6/5/2024,4/18/2024,Salman Abid,good ,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Learning management portal integration with SharePoint site,WAD,In progress,Important,high,6/6/2024,4/19/2024,Salman Abid,good ,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Daily internet utilization || health status ,VET,In progress,Medium,high,6/7/2024,4/20/2024,Salman Abid,good ,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
TRU | FW | Health Check,ENCS - IT,In progress,Medium,high,6/8/2024,4/21/2024,Salman Abid,good ,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
|| Employees Evaluation || April & May || Invites,Meetings,In progress,Medium,high,5/20/2024,4/22/2024,Salman Abid,good ,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
Database File || Form || Freelance,Day to Day,In progress,Medium,high,5/21/2024,4/23/2024,Salman Abid,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
IPG | ISP-02(Transworld) | Link | Down |,ENCS - MSP,Not started,Medium,high,5/22/2024,4/24/2024,Salman Abid,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
ENCS || WEBSITE || HEALTH CHECK,Health Checks,In progress,Important,high,5/23/2024,4/25/2024,Salman Abid,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
After Office Hours || Weekend Support || Shifts Creation,Day to Day,Not started,Medium,high,5/24/2024,4/26/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
App Control and Services in Fortinet FW,Day to Day,In progress,Medium,high,5/25/2024,4/27/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
ENCS TRU FW Access,UNASSIGNED/I don't know who to assign,Not started,Medium,high,5/26/2024,4/28/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
New mobile device | Wifi,Day to Day,In progress,Medium,high,5/27/2024,4/29/2024,haseebjutt,bad,Item,Haseeb Ur Rehman,Haseeb Ur Rehman,,
